parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,year_built,zip_code,category_code,exterior_condition,interior_condition,x_coord,y_coord
888111480,2024/5/16,449900,1,1,1057,1900,19103,1,3,4,2689752.826,237260.3787
888211578,2024/5/8,190000,1,1,860,2004,19128,1,3,3,2676416.231,263519.7928
888090994,2024/5/8,200000,1,1,674,1970,19130,1,3,4,2691010.677,239862.1803
888153562,2024/5/14,288000,1,1,976,1900,19130,1,3,3,2692710.368,241069.9774
888072898,2024/5/1,215000,1,1,756,1950,19130,1,4,4,2688582.069,241966.4435
888582311,2024/5/7,172000,1,1,638,1960,19116,1,4,4,2731366.305,300696.4645
888304820,2024/5/23,307500,1,1,665,1915,19146,1,3,3,2689434.71,231763.7857
888114828,2024/5/6,230000,1,1,720,1900,19102,1,4,3,2692879.342,235546.7254
888051228,2024/4/24,479500,1,1,1118,1980,19106,1,3,4,2697150.942,233931.3661
888082961,2024/5/16,415000,1,1,825,1952,19103,1,4,4,2691288.131,234617.5556
888114808,2024/5/2,320000,1,2,1001,1900,19102,1,4,3,2692879.342,235546.7254
888520433,2024/5/14,160000,1,1,940,1970,19131,1,4,3,2682211.042,254532.9187
552168200,2024/4/2,164000,1,1,703,1950,19135,1,4,4,2724712.277,266091.9136
888582227,2024/5/1,135000,1,1,642,1960,19116,1,4,4,2731366.305,300696.4645
888301052,2024/5/17,506000,1,1,998,2006,19146,1,3,3,2687801.223,233043.5073
888651029,2024/5/28,83000,1,1,700,1960,19136,1,4,4,2731541.933,268501.8655
888051057,2024/5/29,162000,1,1,843,1973,19106,1,4,4,2696743.566,233862.1096
888038338,2024/5/31,375000,1,1,1018,1900,19106,1,4,4,2698475.56,236369.0551
888200404,2024/5/23,320000,1,1,2280,1990,19118,1,4,4,2679871.812,282798.3297
888093630,2024/4/12,149800,1,1,932,1900,19102,1,4,4,2692902.842,234733.9009
888094276,2024/4/18,525000,1,1,1091,2008,19103,1,3,3,2690193.575,236749.7768
888054609,2024/4/9,500000,1,1,1205,1985,19106,1,3,4,2697112.533,234058.0138
888211576,2024/3/26,170000,1,1,860,2005,19128,1,3,3,2676416.231,263519.7928
888093622,2024/3/13,200000,1,1,883,1921,19102,1,4,3,2692902.842,234733.9009
888110372,2024/4/2,236000,1,1,525,1900,19107,1,4,4,2695380.795,236524.2306
888021720,2024/4/4,335000,1,1,896,1900,19147,1,3,4,2696491.581,232216.5837
888083510,2024/4/3,338000,1,1,700,1980,19103,1,4,4,2690314.517,235285.446
888059364,2024/4/23,285000,1,1,678,1900,19106,1,4,3,2699240.407,235200.0377
888053773,2024/4/19,320000,1,1,1333,1900,19123,1,3,3,2694529.424,238580.4001
888072966,2024/4/17,215000,1,1,952,1950,19130,1,4,4,2688582.069,241966.4435
888056710,2024/4/12,221000,1,1,507,1870,19106,1,4,4,2698596.191,237479.9456
888051147,2024/3/15,275000,1,1,777,1980,19106,1,3,4,2697150.942,233931.3661
888112168,2024/3/27,190000,1,1,658,1900,19103,1,3,4,2690099.004,236117.8807
888303322,2024/3/27,495000,1,2,1538,2007,19147,1,4,3,2693325.111,232815.6885
888072890,2024/3/14,205000,1,1,727,1950,19130,1,4,3,2688582.069,241966.4435
888150760,2024/3/27,349000,1,1,1343,1960,19130,1,4,3,2689365.903,241250.3521
888630073,2024/4/16,176000,1,1,1070,1974,19115,1,4,4,2724252.385,285119.2112
888570083,2024/4/1,160000,1,1,803,1965,19152,1,4,4,2729090.639,280089.1097
888062508,2024/3/29,315000,1,1,856,2009,19123,1,3,3,2701562.464,239764.2894
888049712,2024/4/30,325000,1,1,707,1900,19103,1,3,3,2688761.424,235283.0471
888010110,2024/4/19,195000,1,1,574,1900,19146,1,4,4,2692411.344,229236.8859
888042125,2024/4/26,325000,1,1,827,1870,19107,1,4,4,2694581.999,233840.6963
888520381,2024/4/17,145000,1,1,940,1970,19131,1,4,4,2682211.042,254532.9187
888095392,2023/4/25,665000,1,1,964,2009,19102,1,3,3,2693145.732,235790.884
888059416,2024/4/9,384500,1,1,1062,1915,19106,1,4,3,2699064.604,235958.4316
888084001,2024/3/14,449000,1,1,1088,1980,19103,1,4,3,2689517.826,237855.2214
888050990,2024/4/9,340000,1,1,1008,1973,19106,1,4,4,2696743.566,233862.1096
888086166,2024/4/12,160000,1,1,682,1832,19130,1,4,4,2692995.59,240095.7064
888087232,2024/4/22,273000,1,1,790,1900,19102,1,4,4,2692998.423,235483.796
888001219,2024/4/29,270000,1,1,932,2022,19130,1,1,1,2692901.995,243233.541
888031754,2024/4/29,322500,1,1,870,1830,19106,1,4,3,2699531.133,235810.0208
888112414,2024/4/4,195000,1,1,538,1900,19103,1,3,4,2690099.004,236117.8807
888080634,2024/4/29,200000,1,1,717,1977,19102,1,4,4,2692933.467,234488.572
888053727,2024/4/19,262000,1,1,887,1900,19106,1,3,4,2699169.07,236510.8156
888053783,2024/5/1,260000,1,1,1063,1900,19123,1,3,3,2694529.424,238580.4001
888051172,2024/4/3,628500,1,1,1173,1980,19106,1,3,4,2697150.942,233931.3661
888151349,2024/4/25,310000,1,1,951,1900,19130,1,4,4,2692516.936,241132.5498
888108713,2024/4/11,240000,1,1,397,1900,19103,1,4,4,2689722.144,234538.7064
888051107,2024/4/26,207365,1,1,778,1973,19106,1,4,4,2696743.566,233862.1096
888150493,2024/4/28,249000,1,1,1005,1960,19130,1,4,4,2689365.903,241250.3521
888582836,2024/3/11,172000,1,1,654,1960,19116,1,4,4,2730088.446,296831.4551
888210465,2024/3/8,175000,1,1,1058,1980,19128,1,4,4,2669464.164,270330.9058
888650117,2024/3/4,210000,1,1,1255,1972,19114,1,4,4,2742221.44,272346.5386
888303716,2024/3/21,215000,1,1,480,1900,19146,1,3,3,2689595.856,231972.3605
888089024,2024/3/15,460000,1,1,1053,1900,19103,1,3,3,2690194.015,235520.833
888051991,2024/3/15,459900,1,1,803,1963,19106,1,4,4,2698727.87,233524.6644
